"Nazwa";"Zadruk";"Laminowanie";"Mechanizm";"Wielobig";"Kółko grzbietowe";"Kieszonki (wklejane)";"Nakład";"Product quantity limit";"Koszt";"Dodatkowe dni"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Icke";"700";"799";"24.99";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Icke";"800";"899";"24.57";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Icke";"900";"999";"24.14";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Icke";"1000";"9999";"23.71";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"1";"9";"434.45";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"10";"19";"112.53";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"20";"49";"71.76";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"50";"74";"50.31";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"75";"99";"43.87";"0"
"Reklampärmar";"CMYK-tryck 4/0";"Folie med linstruktur";"STR23/04/152";"Ja";"Nej";"Ryggficka";"100";"149";"39.58";"0"
