Name;Zadruk;Laminowanie;Mechanizm;Wielobig;Kó?ko grzbietowe;Kieszonki (wklejane);Nak?ad;Product quantity limit;Koszt;Dodatkowe dni
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;1;9;433.72;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;10;19;111.97;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;20;49;71.21;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;50;74;49.76;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;75;99;43.33;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;100;149;39.04;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;150;199;36.89;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;200;249;35.82;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;250;299;34.75;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;300;399;32.6;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;400;499;29.39;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;500;599;27.24;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;600;699;25.74;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;700;799;25.31;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;800;899;24.88;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;900;999;24.45;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Icke;1000;9999;24.02;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;1;9;434.58;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;10;19;112.83;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;20;49;72.07;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;50;74;50.62;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;75;99;44.19;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;100;149;39.9;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;150;199;37.75;0
Reklampärmar;CMYK-tryck 4/0;Folie med linstruktur;STR16/04/152;Nej;Ja;Ryggficka;200;249;36.68;0
